,date,cage,box,match,scorer,trial_1_winner,trial_2_winner,trial_3_winner,trial_4_winner,trial_5_winner,trial_6_winner,trial_7_winner,trial_8_winner,trial_9_winner,trial_10_winner,trial_11_winner,trial_12_winner,trial_13_winner,trial_14_winner,trial_15_winner,trial_16_winner,trial_17_winner,trial_18_winner,trial_19_winner,,sheet_name,animal_ids,cohort,strain
0,2022-07-28,1,1,1.1v1.2,Naeliz,1.2,1.1,1.1,1.2,1.2,tie,1.2,1.2,1.2,1.1,1.1,1.2,1.1,1.1,1.2,1.1,1.1,1.1,1.1,,Master Assignment List,"('1.1', '1.2')",pilot_2,C57
1,2022-07-28,1,2,1.3v1.4,Erika,1.3,1.4,1.4,1.3,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.3,1.3,1.4,1.3,1.3,1.3,1.4,1.4,,Master Assignment List,"('1.3', '1.4')",pilot_2,C57
2,2022-07-28,1,3,1.2v1.3,Ezra,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.2,tie,1.2,1.3,tie,1.3,tie,tie,,Master Assignment List,"('1.2', '1.3')",pilot_2,C57
3,2022-07-28,1,4,1.1v1.4,Isabel,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.4,1.1,1.1,,Master Assignment List,"('1.1', '1.4')",pilot_2,C57
4,2022-07-28,1,1,1.2v1.4,Catalina,1.2,1.2,1.4,1.2,1.4,1.2,1.2,1.4,1.2,1.2,1.2,1.2,tie,tie,tie,1.2,1.2,tie,tie,,Master Assignment List,"('1.2', '1.4')",pilot_2,C57
5,2022-07-28,1,2,1.1v1.3,Jocelyn,1.1,1.3,1.1,1.1,1.3,1.1,tie,1.3,1.1,1.1,1.1,tie,1.1,1.1,1.1,1.1,1.1,tie,1.1,,Master Assignment List,"('1.1', '1.3')",pilot_2,C57
6,2022-07-28,2,3,2.1v2.2,Albert,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,,Master Assignment List,"('2.1', '2.2')",pilot_2,C57
7,2022-07-28,2,4,2.3v2.4,Naeliz,2.3,2.4,2.4,2.3,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.4,,Master Assignment List,"('2.3', '2.4')",pilot_2,C57
8,2022-07-28,2,1,2.2v2.3,Erika,2.1,2.1,tie,2.3,2.3,2.1,2.1,2.1,tie,tie,2.3,2.1,2.3,2.3,2.1,2.1,2.3,2.3,2.3,,Master Assignment List,"('2.2', '2.3')",pilot_2,C57
9,2022-07-28,2,2,2.1v2.4,Ezra,2.1,2.1,tie,2.4,2.4,2.1,2.1,2.1,tie,tie,2.4,2.1,2.4,2.4,2.1,2.1,2.4,2.4,2.4,,Master Assignment List,"('2.1', '2.4')",pilot_2,C57
10,2022-07-28,2,3,2.2v2.4,Isabel,2.1,2.1,2.1,2.1,2.1,2.1,2.4,2.4,2.4,2.4,2.4,2.1,2.4,2.4,2.1,2.4,2.4,2.1,2.1,,Master Assignment List,"('2.2', '2.4')",pilot_2,C57
11,2022-07-28,2,4,2.1v2.3,Catalina,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.1,2.3,2.3,2.3,2.3,2.1,2.3,2.3,tie,2.3,2.3,,Master Assignment List,"('2.1', '2.3')",pilot_2,C57
12,2022-07-28,3,1,3.1v3.2,Jocelyn,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,tie,3.1,3.2,3.1,tie,tie,3.1,3.1,,Master Assignment List,"('3.1', '3.2')",pilot_2,CD1
13,2022-07-28,3,2,3.3v3.4,Albert,3.4,3.3,3.4,3.3,3.3,3.4,3.3,3.4,3.3,3.4,3.3,tie,3.3,3.4,3.3,3.4,3.4,3.4,3.3,,Master Assignment List,"('3.3', '3.4')",pilot_2,CD1
14,2022-07-28,3,3,3.2v3.3,Naeliz,3.2,3.2,3.2,3.2,3.2,tie,3.3,3.3,tie,3.3,3.3,3.3,3.3,3.2,3.3,3.3,3.3,3.3,3.2,,Master Assignment List,"('3.2', '3.3')",pilot_2,CD1
15,2022-07-28,3,4,3.1v3.4,Erika,3.1,3.1,3.4,3.1,3.1,3.4,3.1,3.1,3.1,3.1,3.1,3.1,3.1,tie,3.4,3.1,3.1,3.1,3.1,,Master Assignment List,"('3.1', '3.4')",pilot_2,CD1
16,2022-07-28,3,1,3.2v3.4,Ezra,3.2,3.2,3.2,3.2,3.2,3.2,tie,3.4,tie,3.2,tie,3.4,tie,3.4,3.4,3.4,3.4,3.4,3.4,,Master Assignment List,"('3.2', '3.4')",pilot_2,CD1
17,2022-07-28,3,2,3.1v3.3,Isabel,3.1,3.1,3.1,3.3,3.1,3.1,3.1,3.1,tie,3.1,3.1,3.3,3.1,3.1,3.1,3.1,3.1,3.1,3.3,,Master Assignment List,"('3.1', '3.3')",pilot_2,CD1
18,2022-07-28,4,3,4.1v4.2,Meghan,4.1,4.2,4.2,4.1,4.2,4.2,4.2,tie,tie,4.2,4.2,4.1,4.2,4.2,4.2,4.2,4.1,4.2,4.1,,Master Assignment List,"('4.1', '4.2')",pilot_2,CD1
19,2022-07-28,4,4,4.3v4.4,Jocelyn,4.4,4.3,4.3,4.4,4.3,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.4,4.4,4.3,4.3,4.4,4.3,,Master Assignment List,"('4.3', '4.4')",pilot_2,CD1
20,2022-07-28,4,1,4.2v4.3,Meghan,4.3,4.3,4.3,tie,tie,4.3,4.2,4.2,4.2,4.2,tie,4.2,4.2,4.2,4.3,tie,4.2,4.2,4.2,,Master Assignment List,"('4.2', '4.3')",pilot_2,CD1
21,2022-07-28,4,2,4.1v4.4,Meghan,4.4,4.1,4.4,4.4,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.4,4.4,4.4,4.1,4.1,4.4,4.1,4.1,,Master Assignment List,"('4.1', '4.4')",pilot_2,CD1
22,2022-07-28,4,3,4.2v4.4,Meghan,4.2,4.2,4.2,4.2,4.2,tie,4.2,4.2,4.2,4.2,4.2,4.2,4.4,tie,4.4,4.4,4.4,4.4,4.2,,Master Assignment List,"('4.2', '4.4')",pilot_2,CD1
23,2022-07-28,4,4,4.1v4.3,Meghan,tie,4.3,4.1,tie,4.3,4.3,4.3,4.3,4.3,4.3,4.1,4.3,4.3,4.3,4.3,4.1,4.3,4.3,4.1,,Master Assignment List,"('4.1', '4.3')",pilot_2,CD1
24,2022-07-28,5,1,5.1v5.2,Erika,5.1,5.1,5.1,5.2,5.2,5.1,5.1,5.2,5.2,5.2,tie,5.1,5.1,5.2,5.1,5.2,5.2,tie,5.2,,Master Assignment List,"('5.1', '5.2')",pilot_2,
25,2022-07-28,5,2,5.3v5.4,Ezra,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.3,5.3,5.3,5.3,5.4,5.3,5.3,,Master Assignment List,"('5.3', '5.4')",pilot_2,
26,2022-07-28,5,3,5.2v5.3,Isabel,5.3,5.3,5.3,5.3,5.3,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.1,5.2,5.2,5.2,5.2,5.2,,Master Assignment List,"('5.2', '5.3')",pilot_2,
27,2022-07-28,5,4,5.1v5.4,Catalina,5.4,5.4,5.4,5.1,5.4,5.4,5.4,5.4,5.1,5.1,5.4,5.4,5.1,5.1,5.4,5.4,5.4,5.4,5.1,,Master Assignment List,"('5.1', '5.4')",pilot_2,
28,2022-07-28,5,1,5.2v5.4,Albert,5.2,tie,5.4,tie,tie,tie,5.2,tie,5.2,5.2,5.2,5.4,5.2,5.4,5.4,tie,5.2,tie,5.2,,Master Assignment List,"('5.2', '5.4')",pilot_2,
29,2022-07-28,5,2,5.1v5.3,Catalina,5.1,5.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,tie,tie,5.1,5.1,tie,5.1,5.1,5.1,tie,,Master Assignment List,"('5.1', '5.3')",pilot_2,
30,2022-07-28,6,3,6.1v6.2,Albert,6.1,6.1,tie,6.1,6.2,6.1,6.1,6.1,6.2,6.2,6.1,6.1,6.2,6.2,6.2,6.2,6.1,6.2,6.1,,Master Assignment List,"('6.1', '6.2')",pilot_2,
31,2022-07-28,6,4,6.3v6.4,Erika,6.3,6.4,6.4,6.3,6.3,6.4,6.3,6.3,6.3,6.3,6.3,6.3,6.4,6.4,6.4,6.3,6.4,6.3,6.4,,Master Assignment List,"('6.3', '6.4')",pilot_2,
32,2022-07-28,6,1,6.2v6.3,Ezra,6.2,6.3,tie,6.3,6.2,6.2,6.2,6.2,6.2,6.2,6.2,tie,6.3,6.3,6.3,tie,tie,6.3,6.3,,Master Assignment List,"('6.2', '6.3')",pilot_2,
33,2022-07-28,6,2,6.1v6.4,Isabel,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,,Master Assignment List,"('6.1', '6.4')",pilot_2,
34,2022-07-28,6,3,6.2v6.4,Catalina,6.4,6.4,6.4,6.4,6.4,6.4,tie,6.2,tie,6.4,6.4,6.4,6.4,6.4,6.4,6.4,tie,6.4,6.4,,Master Assignment List,"('6.2', '6.4')",pilot_2,
35,2022-07-28,6,4,6.1v6.3,Jocelyn,tie,6.1,6.1,6.1,6.3,6.3,6.1,6.1,6.3,6.1,6.3,6.1,6.1,6.3,6.1,6.3,6.3,6.3,tie,,Master Assignment List,"('6.1', '6.3')",pilot_2,
36,2022-07-29,1,3,1.1v1.3,Naeliz,1.1,1.3,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,,Master Assignment List,"('1.1', '1.3')",pilot_2,C57
37,2022-07-29,1,4,1.2v1.4,Naeliz,1.2,1.2,1.4,1.4,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,tie,1.2,1.2,1.2,1.4,,Master Assignment List,"('1.2', '1.4')",pilot_2,C57
38,2022-07-29,1,1,1.1v1.4,Albert,1.4,1.1,1.4,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.4,1.1,1.1,1.1,1.1,1.1,,Master Assignment List,"('1.1', '1.4')",pilot_2,C57
39,2022-07-29,1,2,1.2v1.3,Ezra,1.2,1.2,1.3,1.3,1.3,1.2,1.3,1.2,1.2,1.3,1.2,1.3,1.3,1.2,1.3,1.2,tie,1.2,1.3,,Master Assignment List,"('1.2', '1.3')",pilot_2,C57
40,2022-07-29,1,4,1.3v1.4,Isabel,1.3,1.4,1.4,1.4,tie,1.3,1.4,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.3,1.4,1.4,1.3,,Master Assignment List,"('1.3', '1.4')",pilot_2,C57
41,2022-07-29,1,3,1.1v1.2,Catalina,1.1,1.2,1.1,1.1,1.1,tie,1.2,tie,1.1,tie,1.1,tie,1.2,1.2,1.2,tie,tie,tie,tie,,Master Assignment List,"('1.1', '1.2')",pilot_2,C57
42,2022-07-29,2,1,2.1v2.3,Jocelyn,2.3,2.3,2.3,2.3,2.3,2.3,tie,2.1,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,,Master Assignment List,"('2.1', '2.3')",pilot_2,C57
43,2022-07-29,2,2,2.2v2.4,Meghan,2.2,2.4,2.4,2.4,2.2,2.4,2.2,tie,tie,tie,2.2,2.4,tie,2.4,2.2,tie,tie,2.2,2.2,,Master Assignment List,"('2.2', '2.4')",pilot_2,C57
44,2022-07-29,2,4,2.1v2.4,Naeliz,2.4,2.1,2.4,2.1,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,,Master Assignment List,"('2.1', '2.4')",pilot_2,C57
45,2022-07-29,2,3,2.2v2.3,Erika,2.2,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.3,2.3,tie,2.2,2.3,2.2,2.3,,Master Assignment List,"('2.2', '2.3')",pilot_2,C57
46,2022-07-29,2,1,2.3v2.4,Albert,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,tie,2.4,2.4,2.4,2.3,2.4,2.4,,Master Assignment List,"('2.3', '2.4')",pilot_2,C57
47,2022-07-29,2,2,2.1v2.2,Isabel,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1,2.2,2.1,2.2,2.1,,Master Assignment List,"('2.1', '2.2')",pilot_2,C57
48,2022-07-29,3,3,3.1v3.3,Catalina,3.1,3.1,3.1,tie,3.1,3.1,tie,3.1,tie,tie,3.1,3.3,3.1,3.3,3.1,tie,tie,3.1,3.1,,Master Assignment List,"('3.1', '3.3')",pilot_2,CD1
49,2022-07-29,3,4,3.2v3.4,Jocelyn,3.4,3.2,3.4,3.2,3.4,3.4,3.4,3.4,3.4,3.4,3.2,3.2,3.2,3.4,tie,3.4,3.4,3.4,3.4,,Master Assignment List,"('3.2', '3.4')",pilot_2,CD1
50,2022-07-29,3,1,3.1v3.4,Meghan,3.4,3.4,3.4,3.1,3.4,tie,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,tie,3.1,3.4,tie,3.4,,Master Assignment List,"('3.1', '3.4')",pilot_2,CD1
51,2022-07-29,3,2,3.2v3.3,Naeliz,3.3,3.3,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.3,3.3,3.2,3.3,3.3,3.3,3.3,3.3,3.3,,Master Assignment List,"('3.2', '3.3')",pilot_2,CD1
52,2022-07-29,3,3,3.3v3.4,Erika,3.3,3.4,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.3,tie,3.4,3.4,3.4,3.4,tie,3.3,,Master Assignment List,"('3.3', '3.4')",pilot_2,CD1
53,2022-07-29,3,4,3.1v3.2,Ezra,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,,Master Assignment List,"('3.1', '3.2')",pilot_2,CD1
54,2022-07-29,4,1,4.1v4.3,Albert,4.3,4.3,4.1,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.1,4.1,4.3,tie,4.1,4.3,4.1,,Master Assignment List,"('4.1', '4.3')",pilot_2,CD1
55,2022-07-29,4,2,4.2v4.4,Catalina,4.2,4.4,4.2,4.2,4.4,4.4,4.4,tie,tie,4.2,4.4,4.4,4.4,4.2,4.4,tie,tie,4.4,4.2,,Master Assignment List,"('4.2', '4.4')",pilot_2,CD1
56,2022-07-29,4,3,4.1v4.4,Jocelyn,4.4,4.4,4.4,4.1,4.4,tie,4.4,4.1,tie,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.1,,Master Assignment List,"('4.1', '4.4')",pilot_2,CD1
57,2022-07-29,4,4,4.2v4.3,Meghan,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4.3,tie,4.2,4.3,4.3,4.3,4.2,4.3,4.2,4.3,4.2,,Master Assignment List,"('4.2', '4.3')",pilot_2,CD1
58,2022-07-29,4,2,4.3v4.4,Naeliz,4.3,4.3,4.4,4.3,tie,4.3,4.4,4.3,4.4,4.4,4.4,4.3,4.4,4.4,4.3,4.4,4.4,4.3,4.3,,Master Assignment List,"('4.3', '4.4')",pilot_2,CD1
59,2022-07-29,4,2,4.1v4.2,Erika,4.1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.2,4.2,4.2,4.2,4.1,4.1,4.2,4.2,4.1,4.2,,Master Assignment List,"('4.1', '4.2')",pilot_2,CD1
60,2022-07-29,5,3,5.1v5.3,Ezra,5.3,5.1,5.1,5.1,5.1,5.1,5.1,5.3,5.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,,Master Assignment List,"('5.1', '5.3')",pilot_2,
61,2022-07-29,5,4,5.2v5.4,Isabel,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.4,5.2,5.4,5.4,5.4,5.2,5.4,5.4,,Master Assignment List,"('5.2', '5.4')",pilot_2,
62,2022-07-29,5,1,5.1v5.4,Albert,5.1,5.1,tie,5.1,5.1,5.4,5.4,5.4,5.1,5.4,5.1,5.4,5.1,5.4,5.1,5.1,5.1,5.4,5.4,,Master Assignment List,"('5.1', '5.4')",pilot_2,
63,2022-07-29,5,2,5.2v5.3,Jocelyn,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,tie,5.2,tie,tie,tie,5.2,5.2,tie,5.2,5.2,,Master Assignment List,"('5.2', '5.3')",pilot_2,
64,2022-07-29,5,4,5.3v5.4,Meghan,5.3,5.3,5.4,5.4,tie,5.4,5.4,5.3,5.4,tie,tie,tie,5.4,tie,tie,tie,tie,5.3,5.4,,Master Assignment List,"('5.3', '5.4')",pilot_2,
65,2022-07-29,5,3,5.1v5.2,Albert,5.1,tie,tie,5.2,tie,tie,5.2,5.1,5.2,5.2,5.2,5.2,5.2,tie,5.2,5.1,5.2,5.2,5.2,,Master Assignment List,"('5.1', '5.2')",pilot_2,
66,2022-07-29,6,1,6.1v6.3,Naeliz,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.3,6.1,6.1,6.1,6.3,6.1,6.1,tie,6.1,,Master Assignment List,"('6.1', '6.3')",pilot_2,
67,2022-07-29,6,2,6.2v6.4,Isabel,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,,Master Assignment List,"('6.2', '6.4')",pilot_2,
68,2022-07-29,6,3,6.1v6.4,Catalina,6.1,6.1,6.1,6.4,tie,6.1,6.1,6.1,6.1,6.4,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,,Master Assignment List,"('6.1', '6.4')",pilot_2,
69,2022-07-29,6,4,6.2v6.3,Erika,6.2,6.3,6.3,6.3,6.2,6.3,6.3,6.2,6.3,6.2,6.2,6.3,6.2,6.2,6.2,6.3,6.3,6.3,6.3,,Master Assignment List,"('6.2', '6.3')",pilot_2,
70,2022-07-29,6,1,6.3v6.4,Ezra,6.4,tie,6.3,6.3,tie,tie,6.3,6.3,6.4,6.3,6.4,6.3,6.3,6.3,6.3,6.3,6.4,tie,6.3,,Master Assignment List,"('6.3', '6.4')",pilot_2,
71,2022-07-29,6,1,6.1v6.2,Jocelyn,6.1,6.1,6.2,6.1,6.1,6.2,6.1,6.2,6.2,6.1,6.2,6.1,tie,6.2,6.2,6.2,6.2,6.1,6.1,,Master Assignment List,"('6.1', '6.2')",pilot_2,
