,total_match_number,subject_id,agent_id,original_elo_rating,updated_elo_rating,win_draw_loss,subject_ranking,agent_ranking,pairing_index,date,match,left_number_of_spots,right_number_of_spots,winner,loser,spot_number_difference,percent_difference,match_is_tie,notes,sheet_name,session_number_difference,processed_cage_num_of_winner,processed_cage_num_of_loser,cage_num_of_subject,cage_num_of_agent,subject_strain,agent_strain,experiment_type,cohort
0,1,1.1,1.3,1000.0,1010.0,1.0,1,2,0,2022-09-14,1v3,31.0,9.0,1.1,1.3,22.0,1.1,False,,CAGE1,,1,1,1,1,C57,C57,urine_marking,pilot_3
1,1,1.3,1.1,1000.0,990.0,0.0,2,1,1,2022-09-14,1v3,31.0,9.0,1.1,1.3,22.0,1.1,False,,CAGE1,,1,1,1,1,C57,C57,urine_marking,pilot_3
2,2,1.2,1.4,1000.0,1010.0,1.0,2,4,0,2022-09-14,2v4,8.0,70.0,1.2,1.4,62.0,1.5897435897435896,False,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_3
3,2,1.4,1.2,1000.0,990.0,0.0,4,2,1,2022-09-14,2v4,8.0,70.0,1.2,1.4,62.0,1.5897435897435896,False,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_3
4,3,1.4,1.1,990.0,990.6,0.5,3,2,0,2022-09-15,1v4,1.0,3.0,1.4,1.1,2.0,1.0,True,,CAGE1,1.0,1,1,1,1,C57,C57,urine_marking,pilot_3
5,3,1.1,1.4,1010.0,1009.4,0.5,2,3,1,2022-09-15,1v4,1.0,3.0,1.4,1.1,2.0,1.0,True,,CAGE1,1.0,1,1,1,1,C57,C57,urine_marking,pilot_3
6,4,1.2,1.3,1010.0,1019.4,1.0,1,4,0,2022-09-15,2v3,27.0,5.0,1.2,1.3,22.0,1.375,False,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_3
7,4,1.3,1.2,990.0,980.6,0.0,4,1,1,2022-09-15,2v3,27.0,5.0,1.2,1.3,22.0,1.375,False,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_3
8,5,1.1,1.2,1009.4,1009.7,0.5,2,1,0,2022-09-16,1vs2,1.0,1.0,1.1,1.2,0.0,0.0,True,,CAGE1,1.0,1,1,1,1,C57,C57,urine_marking,pilot_3
9,5,1.2,1.1,1019.4,1019.1,0.5,1,2,1,2022-09-16,1vs2,1.0,1.0,1.1,1.2,0.0,0.0,True,,CAGE1,1.0,1,1,1,1,C57,C57,urine_marking,pilot_3
10,6,1.4,1.3,990.6,990.3,0.5,3,4,0,2022-09-16,3vs4,0.0,1.0,1.4,1.3,1.0,2.0,True,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_3
11,6,1.3,1.4,980.6,980.9,0.5,4,3,1,2022-09-16,3vs4,0.0,1.0,1.4,1.3,1.0,2.0,True,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_3
0,1,2.1,2.3,1000.0,1010.0,1.0,1,2,0,2022-09-14,1v3,59.0,17.0,2.1,2.3,42.0,1.105263157894737,False,,CAGE2,,2,2,2,2,C57,C57,urine_marking,pilot_3
1,1,2.3,2.1,1000.0,990.0,0.0,2,1,1,2022-09-14,1v3,59.0,17.0,2.1,2.3,42.0,1.105263157894737,False,,CAGE2,,2,2,2,2,C57,C57,urine_marking,pilot_3
2,2,2.4,2.2,1000.0,1010.0,1.0,2,4,0,2022-09-14,2v4,7.0,294.0,2.4,2.2,287.0,1.9069767441860466,False,,CAGE2,0.0,2,2,2,2,C57,C57,urine_marking,pilot_3
3,2,2.2,2.4,1000.0,990.0,0.0,4,2,1,2022-09-14,2v4,7.0,294.0,2.4,2.2,287.0,1.9069767441860466,False,,CAGE2,0.0,2,2,2,2,C57,C57,urine_marking,pilot_3
4,3,2.4,2.1,1010.0,1020.0,1.0,1,2,0,2022-09-15,1v4,16.0,188.0,2.4,2.1,172.0,1.6862745098039216,False,,CAGE2,1.0,2,2,2,2,C57,C57,urine_marking,pilot_3
5,3,2.1,2.4,1010.0,1000.0,0.0,2,1,1,2022-09-15,1v4,16.0,188.0,2.4,2.1,172.0,1.6862745098039216,False,,CAGE2,1.0,2,2,2,2,C57,C57,urine_marking,pilot_3
6,4,2.3,2.2,990.0,1000.0,1.0,3,4,0,2022-09-15,2v3,3.0,28.0,2.3,2.2,25.0,1.6129032258064515,False,,CAGE2,0.0,2,2,2,2,C57,C57,urine_marking,pilot_3
7,4,2.2,2.3,990.0,980.0,0.0,4,3,1,2022-09-15,2v3,3.0,28.0,2.3,2.2,25.0,1.6129032258064515,False,,CAGE2,0.0,2,2,2,2,C57,C57,urine_marking,pilot_3
8,5,2.1,2.2,1000.0,1009.4,1.0,2,4,0,2022-09-16,1vs2,29.0,2.0,2.1,2.2,27.0,1.7419354838709677,False,,CAGE2,1.0,2,2,2,2,C57,C57,urine_marking,pilot_3
9,5,2.2,2.1,980.0,970.6,0.0,4,2,1,2022-09-16,1vs2,29.0,2.0,2.1,2.2,27.0,1.7419354838709677,False,,CAGE2,1.0,2,2,2,2,C57,C57,urine_marking,pilot_3
10,6,2.3,2.4,1000.0,1000.6,0.5,3,1,0,2022-09-16,3vs4,21.0,21.0,2.3,2.4,0.0,0.0,True,,CAGE2,0.0,2,2,2,2,C57,C57,urine_marking,pilot_3
11,6,2.4,2.3,1020.0,1019.4,0.5,1,3,1,2022-09-16,3vs4,21.0,21.0,2.3,2.4,0.0,0.0,True,,CAGE2,0.0,2,2,2,2,C57,C57,urine_marking,pilot_3
0,1,3.1,3.3,1000.0,1010.0,1.0,1,2,0,2022-09-14,1v3,9.0,3.0,3.1,3.3,6.0,1.0,False,,CAGE3,,3,3,3,3,C57,C57,urine_marking,pilot_3
1,1,3.3,3.1,1000.0,990.0,0.0,2,1,1,2022-09-14,1v3,9.0,3.0,3.1,3.3,6.0,1.0,False,,CAGE3,,3,3,3,3,C57,C57,urine_marking,pilot_3
2,2,3.2,3.4,1000.0,1010.0,1.0,2,4,0,2022-09-14,2v4,25.0,18.0,3.2,3.4,7.0,0.32558139534883723,False,,CAGE3,0.0,3,3,3,3,C57,C57,urine_marking,pilot_3
3,2,3.4,3.2,1000.0,990.0,0.0,4,2,1,2022-09-14,2v4,25.0,18.0,3.2,3.4,7.0,0.32558139534883723,False,,CAGE3,0.0,3,3,3,3,C57,C57,urine_marking,pilot_3
4,3,3.4,3.1,990.0,1000.6,1.0,2,3,0,2022-09-15,1v4,2.0,18.0,3.4,3.1,16.0,1.6,False,,CAGE3,1.0,3,3,3,3,C57,C57,urine_marking,pilot_3
5,3,3.1,3.4,1010.0,999.4,0.0,3,2,1,2022-09-15,1v4,2.0,18.0,3.4,3.1,16.0,1.6,False,,CAGE3,1.0,3,3,3,3,C57,C57,urine_marking,pilot_3
6,4,3.3,3.2,990.0,1000.6,1.0,1,4,0,2022-09-15,2v3,2.0,20.0,3.3,3.2,18.0,1.6363636363636365,False,,CAGE3,0.0,3,3,3,3,C57,C57,urine_marking,pilot_3
7,4,3.2,3.3,1010.0,999.4,0.0,4,1,1,2022-09-15,2v3,2.0,20.0,3.3,3.2,18.0,1.6363636363636365,False,,CAGE3,0.0,3,3,3,3,C57,C57,urine_marking,pilot_3
8,5,3.1,3.2,999.4,1009.4,1.0,1,4,0,2022-09-16,1vs2,15.0,0.0,3.1,3.2,15.0,2.0,False,,CAGE3,1.0,3,3,3,3,C57,C57,urine_marking,pilot_3
9,5,3.2,3.1,999.4,989.4,0.0,4,1,1,2022-09-16,1vs2,15.0,0.0,3.1,3.2,15.0,2.0,False,,CAGE3,1.0,3,3,3,3,C57,C57,urine_marking,pilot_3
10,6,3.3,3.4,1000.6,1010.6,1.0,1,3,0,2022-09-16,3vs4,55.0,1.0,3.3,3.4,54.0,1.9285714285714286,False,,CAGE3,0.0,3,3,3,3,C57,C57,urine_marking,pilot_3
11,6,3.4,3.3,1000.6,990.6,0.0,3,1,1,2022-09-16,3vs4,55.0,1.0,3.3,3.4,54.0,1.9285714285714286,False,,CAGE3,0.0,3,3,3,3,C57,C57,urine_marking,pilot_3
0,1,4.2,4.1,1000.0,1010.0,1.0,1,2,0,2022-09-12,1vs2,14.0,22.0,4.2,4.1,8.0,0.4444444444444444,False,3 hours,CAGE4,,4,4,4,4,CD1,CD1,urine_marking,pilot_3
1,1,4.1,4.2,1000.0,990.0,0.0,2,1,1,2022-09-12,1vs2,14.0,22.0,4.2,4.1,8.0,0.4444444444444444,False,3 hours,CAGE4,,4,4,4,4,CD1,CD1,urine_marking,pilot_3
2,2,4.4,4.3,1000.0,1010.0,1.0,2,4,0,2022-09-12,3vs4,24.0,60.0,4.4,4.3,36.0,0.8571428571428571,False,3 hours,CAGE4,0.0,4,4,4,4,CD1,CD1,urine_marking,pilot_3
3,2,4.3,4.4,1000.0,990.0,0.0,4,2,1,2022-09-12,3vs4,24.0,60.0,4.4,4.3,36.0,0.8571428571428571,False,3 hours,CAGE4,0.0,4,4,4,4,CD1,CD1,urine_marking,pilot_3
4,3,4.3,4.1,990.0,1000.0,1.0,3,4,0,2022-09-13,1vs3,11.0,90.0,4.3,4.1,79.0,1.5643564356435644,False,3 hours,CAGE4,1.0,4,4,4,4,CD1,CD1,urine_marking,pilot_3
5,3,4.1,4.3,990.0,980.0,0.0,4,3,1,2022-09-13,1vs3,11.0,90.0,4.3,4.1,79.0,1.5643564356435644,False,3 hours,CAGE4,1.0,4,4,4,4,CD1,CD1,urine_marking,pilot_3
6,4,4.4,4.2,1010.0,1020.0,1.0,1,2,0,2022-09-13,4vs2,96.0,5.0,4.4,4.2,91.0,1.801980198019802,False,3 hours,CAGE4,0.0,4,4,4,4,CD1,CD1,urine_marking,pilot_3
7,4,4.2,4.4,1010.0,1000.0,0.0,2,1,1,2022-09-13,4vs2,96.0,5.0,4.4,4.2,91.0,1.801980198019802,False,3 hours,CAGE4,0.0,4,4,4,4,CD1,CD1,urine_marking,pilot_3
8,5,4.4,4.1,1020.0,1018.9,0.5,1,4,0,2022-09-16,1vs4,82.0,97.0,4.4,4.1,15.0,0.16759776536312848,True,3 hours,CAGE4,1.0,4,4,4,4,CD1,CD1,urine_marking,pilot_3
9,5,4.1,4.4,980.0,981.1,0.5,4,1,1,2022-09-16,1vs4,82.0,97.0,4.4,4.1,15.0,0.16759776536312848,True,3 hours,CAGE4,1.0,4,4,4,4,CD1,CD1,urine_marking,pilot_3
10,6,4.3,4.2,1000.0,1010.0,1.0,2,3,0,2022-09-16,2vs3,5.0,172.0,4.3,4.2,167.0,1.887005649717514,False,3 hours,CAGE4,0.0,4,4,4,4,CD1,CD1,urine_marking,pilot_3
11,6,4.2,4.3,1000.0,990.0,0.0,3,2,1,2022-09-16,2vs3,5.0,172.0,4.3,4.2,167.0,1.887005649717514,False,3 hours,CAGE4,0.0,4,4,4,4,CD1,CD1,urine_marking,pilot_3
0,1,5.2,5.1,1000.0,1010.0,1.0,1,2,0,2022-09-12,1vs2,13.0,58.0,5.2,5.1,45.0,1.267605633802817,False,3 hours,CAGE5,,5,5,5,5,CD1,CD1,urine_marking,pilot_3
1,1,5.1,5.2,1000.0,990.0,0.0,2,1,1,2022-09-12,1vs2,13.0,58.0,5.2,5.1,45.0,1.267605633802817,False,3 hours,CAGE5,,5,5,5,5,CD1,CD1,urine_marking,pilot_3
2,2,5.4,5.3,1000.0,1000.0,0.5,2,3,0,2022-09-12,3vs4,15.0,19.0,5.4,5.3,4.0,0.23529411764705882,True,3 hours,CAGE5,0.0,5,5,5,5,CD1,CD1,urine_marking,pilot_3
3,2,5.3,5.4,1000.0,1000.0,0.5,3,2,1,2022-09-12,3vs4,15.0,19.0,5.4,5.3,4.0,0.23529411764705882,True,3 hours,CAGE5,0.0,5,5,5,5,CD1,CD1,urine_marking,pilot_3
4,3,5.3,5.1,1000.0,999.7,0.5,3,4,0,2022-09-13,1vs3,8.0,10.0,5.3,5.1,2.0,0.2222222222222222,True,3 hours,CAGE5,1.0,5,5,5,5,CD1,CD1,urine_marking,pilot_3
5,3,5.1,5.3,990.0,990.3,0.5,4,3,1,2022-09-13,1vs3,8.0,10.0,5.3,5.1,2.0,0.2222222222222222,True,3 hours,CAGE5,1.0,5,5,5,5,CD1,CD1,urine_marking,pilot_3
6,4,5.4,5.2,1000.0,1010.3,1.0,1,2,0,2022-09-13,4vs2,136.0,44.0,5.4,5.2,92.0,1.0222222222222221,False,3 hours,CAGE5,0.0,5,5,5,5,CD1,CD1,urine_marking,pilot_3
7,4,5.2,5.4,1010.0,999.7,0.0,2,1,1,2022-09-13,4vs2,136.0,44.0,5.4,5.2,92.0,1.0222222222222221,False,3 hours,CAGE5,0.0,5,5,5,5,CD1,CD1,urine_marking,pilot_3
8,5,5.2,5.3,999.7,1009.7,1.0,2,4,0,2022-09-16,2vs3,123.0,28.0,5.2,5.3,95.0,1.2582781456953642,False,3 hours,CAGE5,1.0,5,5,5,5,CD1,CD1,urine_marking,pilot_3
9,5,5.3,5.2,999.7,989.7,0.0,4,2,1,2022-09-16,2vs3,123.0,28.0,5.2,5.3,95.0,1.2582781456953642,False,3 hours,CAGE5,1.0,5,5,5,5,CD1,CD1,urine_marking,pilot_3
10,6,5.4,5.1,1010.3,1019.7,1.0,1,4,0,2022-09-16,1vs4,13.0,326.0,5.4,5.1,313.0,1.8466076696165192,False,3 hours,CAGE5,0.0,5,5,5,5,CD1,CD1,urine_marking,pilot_3
11,6,5.1,5.4,990.3,980.9,0.0,4,1,1,2022-09-16,1vs4,13.0,326.0,5.4,5.1,313.0,1.8466076696165192,False,3 hours,CAGE5,0.0,5,5,5,5,CD1,CD1,urine_marking,pilot_3
0,1,6.1,6.2,1000.0,1000.0,0.5,1,2,0,2022-09-12,1vs2,4.0,3.0,6.1,6.2,1.0,0.2857142857142857,True,3 hours,CAGE6,,6,6,6,6,CD1,CD1,urine_marking,pilot_3
1,1,6.2,6.1,1000.0,1000.0,0.5,2,1,1,2022-09-12,1vs2,4.0,3.0,6.1,6.2,1.0,0.2857142857142857,True,3 hours,CAGE6,,6,6,6,6,CD1,CD1,urine_marking,pilot_3
2,2,6.3,6.4,1000.0,1010.0,1.0,1,4,0,2022-09-12,3vs4,57.0,22.0,6.3,6.4,35.0,0.8860759493670886,False,3 hours,CAGE6,0.0,6,6,6,6,CD1,CD1,urine_marking,pilot_3
3,2,6.4,6.3,1000.0,990.0,0.0,4,1,1,2022-09-12,3vs4,57.0,22.0,6.3,6.4,35.0,0.8860759493670886,False,3 hours,CAGE6,0.0,6,6,6,6,CD1,CD1,urine_marking,pilot_3
4,3,6.3,6.1,1010.0,1019.7,1.0,1,3,0,2022-09-13,1vs3,2.0,31.0,6.3,6.1,29.0,1.7575757575757576,False,3 hours,CAGE6,1.0,6,6,6,6,CD1,CD1,urine_marking,pilot_3
5,3,6.1,6.3,1000.0,990.3,0.0,3,1,1,2022-09-13,1vs3,2.0,31.0,6.3,6.1,29.0,1.7575757575757576,False,3 hours,CAGE6,1.0,6,6,6,6,CD1,CD1,urine_marking,pilot_3
6,4,6.4,6.2,990.0,1000.3,1.0,2,4,0,2022-09-13,2vs4,5.0,10.0,6.4,6.2,5.0,0.6666666666666666,False,3 hours,CAGE6,0.0,6,6,6,6,CD1,CD1,urine_marking,pilot_3
7,4,6.2,6.4,1000.0,989.7,0.0,4,2,1,2022-09-13,2vs4,5.0,10.0,6.4,6.2,5.0,0.6666666666666666,False,3 hours,CAGE6,0.0,6,6,6,6,CD1,CD1,urine_marking,pilot_3
8,5,6.4,6.1,1000.3,1010.0,1.0,2,4,0,2022-09-16,1vs4,1.0,26.0,6.4,6.1,25.0,1.8518518518518519,False,3 hours,CAGE6,1.0,6,6,6,6,CD1,CD1,urine_marking,pilot_3
9,5,6.1,6.4,990.3,980.6,0.0,4,2,1,2022-09-16,1vs4,1.0,26.0,6.4,6.1,25.0,1.8518518518518519,False,3 hours,CAGE6,1.0,6,6,6,6,CD1,CD1,urine_marking,pilot_3
10,6,6.3,6.2,1019.7,1028.8,1.0,1,4,0,2022-09-16,2vs3,21.0,83.0,6.3,6.2,62.0,1.1923076923076923,False,3 hours,CAGE6,0.0,6,6,6,6,CD1,CD1,urine_marking,pilot_3
11,6,6.2,6.3,989.7,980.6,0.0,4,1,1,2022-09-16,2vs3,21.0,83.0,6.3,6.2,62.0,1.1923076923076923,False,3 hours,CAGE6,0.0,6,6,6,6,CD1,CD1,urine_marking,pilot_3
